id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
34960,15666254B89722251658211,MYS,Selangor,0.08,0.14,36206.36,62006.67,101.50578757883557,3.279060889237217
34960,15666254B42356713390762,MYS,Johor,0.2,0.14,88532.04,62006.67,103.38756450343313,2.052928141849092
34960,15666254B45695250728659,MYS,Malacca,0.02,0.14,7561.62,62006.67,102.30713967173509,2.32744920874943
34960,15666254B60207109163985,MYS,Negeri Sembilan,0.07,0.14,31206.8,62006.67,102.20818250861844,2.7762288379127
34960,15666254B71428205180864,MYS,Kedah,0.1,0.14,44374.08,62006.67,100.62329100628784,5.942059299663748
34960,15666254B15173108486297,MYS,Perak,0.22,0.14,97108.58,62006.67,101.11138628672585,4.777211228040852
34960,15666254B92074897121205,MYS,Penang,0.01,0.14,4717.89,62006.67,100.40429231211024,5.365926743447724
35079,15666254B89722251658211,MYS,Selangor,1.0,1.0,,,101.50578757883557,3.279060889237217
43848,15666254B89722251658211,MYS,Selangor,0.04,0.5,,,101.50578757883557,3.279060889237217
43848,15666254B97003483933575,MYS,Kuala Lumpur,0.96,0.5,,,101.69027433560228,3.143726124529757
43849,15666254B89722251658211,MYS,Selangor,1.0,1.0,,,101.50578757883557,3.279060889237217
49402,15666254B89722251658211,MYS,Selangor,1.0,1.0,191766213.9,191766213.9,101.50578757883557,3.279060889237217
71700,15666254B89722251658211,MYS,Selangor,1.0,1.0,,,101.50578757883557,3.279060889237217
73439,15666254B89722251658211,MYS,Selangor,1.0,1.0,56113778.48,56113778.48,101.50578757883557,3.279060889237217
90157,15666254B89722251658211,MYS,Selangor,1.0,1.0,46410.16,46410.16,101.50578757883557,3.279060889237217
90190,15666254B89722251658211,MYS,Selangor,1.0,1.0,3219841.08,3219841.08,101.50578757883557,3.279060889237217
90195,15666254B89722251658211,MYS,Selangor,0.46,0.5,,,101.50578757883557,3.279060889237217
90195,15666254B97003483933575,MYS,Kuala Lumpur,0.54,0.5,,,101.69027433560228,3.143726124529757
90203,15666254B89722251658211,MYS,Selangor,0.75,1.0,5037.63,6701.02,101.50578757883557,3.279060889237217
90212,15666254B89722251658211,MYS,Selangor,1.0,1.0,,,101.50578757883557,3.279060889237217
90823,15666254B89722251658211,MYS,Selangor,1.0,1.0,,,101.50578757883557,3.279060889237217
89485,15666254B42356713390762,MYS,Johor,0.9,1.0,414512132.59,458884103.7,103.38756450343313,2.052928141849092
89486,15666254B42356713390762,MYS,Johor,0.9,1.0,414512132.59,458884103.7,103.38756450343313,2.052928141849092
89494,15666254B42356713390762,MYS,Johor,0.04,1.0,13560301.5,317407003.0,103.38756450343313,2.052928141849092
89495,15666254B42356713390762,MYS,Johor,0.04,1.0,13560301.5,317407003.0,103.38756450343313,2.052928141849092
