id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
4,26408823B17220104796328,AGO,Luanda,1.0,1.0,15087226.6,15087226.6,13.790743411857392,-9.617784081332585
13,26408823B17220104796328,AGO,Luanda,1.0,1.0,,,13.790743411857392,-9.617784081332585
51,26408823B17220104796328,AGO,Luanda,1.0,1.0,,,13.790743411857392,-9.617784081332585
65,26408823B17220104796328,AGO,Luanda,0.98,0.98,45520994.62,15544767.32,13.790743411857392,-9.617784081332585
65,26408823B29177594449133,AGO,Cuanza Sul,0.0,0.0,193582.63,15544767.32,15.045067400854824,-10.825977535749447
65,26408823B1629995979425,AGO,Bengo,0.01,0.01,330071.75,15544767.32,14.030508009653785,-8.300862810924832
66,26408823B17220104796328,AGO,Luanda,0.01,0.01,512498.55,30409277.373333335,13.790743411857392,-9.617784081332585
66,26408823B906914650007,AGO,Uíge,0.39,0.39,35501384.94,30409277.373333335,15.471751040190421,-7.020986932500334
66,26408823B1629995979425,AGO,Bengo,0.61,0.61,55213948.63,30409277.373333335,14.030508009653785,-8.300862810924832
152,26408823B17220104796328,AGO,Luanda,1.0,1.0,224950941.2,224950941.2,13.790743411857392,-9.617784081332585
844,26408823B17220104796328,AGO,Luanda,0.93,0.93,24803948.24,26796701.14,13.790743411857392,-9.617784081332585
30837,26408823B17220104796328,AGO,Luanda,1.0,1.0,,,13.790743411857392,-9.617784081332585
31798,26408823B17220104796328,AGO,Luanda,1.0,1.0,,,13.790743411857392,-9.617784081332585
32853,26408823B17220104796328,AGO,Luanda,1.0,1.0,,,13.790743411857392,-9.617784081332585
32888,26408823B17220104796328,AGO,Luanda,1.0,1.0,,,13.790743411857392,-9.617784081332585
34179,26408823B17220104796328,AGO,Luanda,1.0,1.0,,,13.790743411857392,-9.617784081332585
34775,26408823B17220104796328,AGO,Luanda,1.0,1.0,34948129.05,17539436.97,13.790743411857392,-9.617784081332585
34775,26408823B1629995979425,AGO,Bengo,0.0,0.0,110585.46,17539436.97,14.030508009653785,-8.300862810924832
34776,26408823B17220104796328,AGO,Luanda,1.0,1.0,115119676.43,115119677.1,13.790743411857392,-9.617784081332585
34787,26408823B17220104796328,AGO,Luanda,0.77,0.77,70441508.14,22809765.555,13.790743411857392,-9.617784081332585
34787,26408823B29177594449133,AGO,Cuanza Sul,0.01,0.01,488730.59,22809765.555,15.045067400854824,-10.825977535749447
34787,26408823B10526282327152,AGO,Cuanza Norte,0.0,0.0,51318.35,22809765.555,15.000937189451419,-8.948593120480366
34787,26408823B1629995979425,AGO,Bengo,0.01,0.01,871134.22,22809765.555,14.030508009653785,-8.300862810924832
34789,26408823B17220104796328,AGO,Luanda,0.69,0.69,51853285.4,37470088.915,13.790743411857392,-9.617784081332585
34789,26408823B10526282327152,AGO,Cuanza Norte,0.31,0.31,23086892.43,37470088.915,15.000937189451419,-8.948593120480366
34800,26408823B17220104796328,AGO,Luanda,1.0,1.0,47625708.45,23898684.185,13.790743411857392,-9.617784081332585
34800,26408823B1629995979425,AGO,Bengo,0.0,0.0,145191.85,23898684.185,14.030508009653785,-8.300862810924832
34802,26408823B17220104796328,AGO,Luanda,1.0,1.0,16177389.8,8118955.62,13.790743411857392,-9.617784081332585
34802,26408823B1629995979425,AGO,Bengo,0.0,0.0,51189.7,8118955.62,14.030508009653785,-8.300862810924832
34826,26408823B17220104796328,AGO,Luanda,0.77,0.77,13327135.89,4315478.945,13.790743411857392,-9.617784081332585
34826,26408823B29177594449133,AGO,Cuanza Sul,0.01,0.01,92465.07,4315478.945,15.045067400854824,-10.825977535749447
34826,26408823B10526282327152,AGO,Cuanza Norte,0.0,0.0,9709.14,4315478.945,15.000937189451419,-8.948593120480366
34826,26408823B1629995979425,AGO,Bengo,0.01,0.01,164813.68,4315478.945,14.030508009653785,-8.300862810924832
34827,26408823B17220104796328,AGO,Luanda,1.0,1.0,36912731.66,37088522.81,13.790743411857392,-9.617784081332585
34847,26408823B17220104796328,AGO,Luanda,1.0,1.0,57652083.56,57652083.56,13.790743411857392,-9.617784081332585
34849,26408823B17220104796328,AGO,Luanda,1.0,1.0,86972666.98,43649770.0,13.790743411857392,-9.617784081332585
34849,26408823B1629995979425,AGO,Bengo,0.0,0.0,276473.09,43649770.0,14.030508009653785,-8.300862810924832
34851,26408823B17220104796328,AGO,Luanda,0.33,0.33,14023571.97,14023571.973333333,13.790743411857392,-9.617784081332585
34851,26408823B906914650007,AGO,Uíge,0.33,0.33,14023571.97,14023571.973333333,15.471751040190421,-7.020986932500334
34851,26408823B1629995979425,AGO,Bengo,0.33,0.33,14023571.97,14023571.973333333,14.030508009653785,-8.300862810924832
34852,26408823B17220104796328,AGO,Luanda,1.0,1.0,130679906.7,130679906.7,13.790743411857392,-9.617784081332585
34853,26408823B17220104796328,AGO,Luanda,0.01,0.01,2662098.49,137821168.43333334,13.790743411857392,-9.617784081332585
34853,26408823B906914650007,AGO,Uíge,0.45,0.45,187864746.45,137821168.43333334,15.471751040190421,-7.020986932500334
34853,26408823B1629995979425,AGO,Bengo,0.54,0.54,222936660.36,137821168.43333334,14.030508009653785,-8.300862810924832
34868,26408823B17220104796328,AGO,Luanda,0.77,0.77,179863550.4,58241873.65,13.790743411857392,-9.617784081332585
34868,26408823B29177594449133,AGO,Cuanza Sul,0.01,0.01,1247912.23,58241873.65,15.045067400854824,-10.825977535749447
34868,26408823B10526282327152,AGO,Cuanza Norte,0.0,0.0,131034.96,58241873.65,15.000937189451419,-8.948593120480366
34868,26408823B1629995979425,AGO,Bengo,0.01,0.01,2224331.9,58241873.65,14.030508009653785,-8.300862810924832
34871,26408823B17220104796328,AGO,Luanda,0.77,0.77,104116553.55,33714130.2,13.790743411857392,-9.617784081332585
34871,26408823B29177594449133,AGO,Cuanza Sul,0.01,0.01,722371.6,33714130.2,15.045067400854824,-10.825977535749447
34871,26408823B10526282327152,AGO,Cuanza Norte,0.0,0.0,75851.43,33714130.2,15.000937189451419,-8.948593120480366
34871,26408823B1629995979425,AGO,Bengo,0.01,0.01,1287585.9,33714130.2,14.030508009653785,-8.300862810924832
34880,26408823B17220104796328,AGO,Luanda,0.08,0.08,54187232.78,54808361.2,13.790743411857392,-9.617784081332585
34880,26408823B27508642812365,AGO,Bié,0.0,0.0,1074687.57,54808361.2,17.36258105140795,-12.32493679576255
34880,26408823B12021631761277,AGO,Huambo,0.13,0.13,93402837.5,54808361.2,15.745636416550099,-12.56917184608874
34880,26408823B98547910937265,AGO,Huíla,0.0,0.0,311501.26,54808361.2,14.950094077860289,-14.74288131431826
34880,26408823B29177594449133,AGO,Cuanza Sul,0.0,0.0,1311944.89,54808361.2,15.045067400854824,-10.825977535749447
34880,26408823B58820355179323,AGO,Lunda Sul,0.0,0.0,342065.83,54808361.2,20.60110332945663,-10.171814852294467
34880,26408823B46264466320795,AGO,Malanje,0.34,0.34,242674227.57,54808361.2,17.052316525542718,-9.535771475297434
34880,26408823B10526282327152,AGO,Cuanza Norte,0.0,0.0,1368241.43,54808361.2,15.000937189451419,-8.948593120480366
34880,26408823B906914650007,AGO,Uíge,0.24,0.24,171745901.83,54808361.2,15.471751040190421,-7.020986932500334
34880,26408823B1629995979425,AGO,Bengo,0.0,0.0,1999682.75,54808361.2,14.030508009653785,-8.300862810924832
34880,26408823B68708736810578,AGO,Zaire,0.0,0.0,433352.17,54808361.2,13.571457747982091,-6.611312758404879
34880,26408823B75281746675067,AGO,Benguela,0.16,0.16,111623611.17,54808361.2,13.990534996377175,-12.933485335673602
34880,26408823B78028517006075,AGO,Namibe,0.0,0.0,93121.79,54808361.2,12.727702933804071,-15.495143074943513
34881,26408823B17220104796328,AGO,Luanda,0.12,0.12,19770043.22,15499928.681818182,13.790743411857392,-9.617784081332585
34881,26408823B98547910937265,AGO,Huíla,0.0,0.0,89216.89,15499928.681818182,14.950094077860289,-14.74288131431826
34881,26408823B29177594449133,AGO,Cuanza Sul,0.0,0.0,135503.76,15499928.681818182,15.045067400854824,-10.825977535749447
34881,26408823B10526282327152,AGO,Cuanza Norte,0.0,0.0,202510.23,15499928.681818182,15.000937189451419,-8.948593120480366
34881,26408823B906914650007,AGO,Uíge,0.0,0.0,335340.91,15499928.681818182,15.471751040190421,-7.020986932500334
34881,26408823B1629995979425,AGO,Bengo,0.12,0.12,20231561.04,15499928.681818182,14.030508009653785,-8.300862810924832
34881,26408823B93569072225888,AGO,Cunene,0.0,0.0,34986.65,15499928.681818182,15.576202879383235,-16.50363047485235
34881,26408823B68708736810578,AGO,Zaire,0.21,0.21,36409492.09,15499928.681818182,13.571457747982091,-6.611312758404879
34881,26408823B78028517006075,AGO,Namibe,0.35,0.35,59732930.19,15499928.681818182,12.727702933804071,-15.495143074943513
34881,26408823B25821416016710,AGO,Cabinda,0.04,0.04,7001954.99,15499928.681818182,12.469537098875598,-5.0449582801643045
34881,67827341B58284401685335,COG,Niari,0.0,0.0,94329.73,15499928.681818182,12.467246741351305,-3.1065935304403154
34884,26408823B17220104796328,AGO,Luanda,1.0,1.0,94574428.91,94574428.91,13.790743411857392,-9.617784081332585
34885,26408823B17220104796328,AGO,Luanda,1.0,1.0,80218335.3,80218335.3,13.790743411857392,-9.617784081332585
34917,26408823B17220104796328,AGO,Luanda,0.04,0.04,5492929.69,11327803.991666667,13.790743411857392,-9.617784081332585
34917,26408823B27508642812365,AGO,Bié,0.15,0.15,20119740.51,11327803.991666667,17.36258105140795,-12.32493679576255
34917,26408823B12021631761277,AGO,Huambo,0.0,0.0,47393.72,11327803.991666667,15.745636416550099,-12.56917184608874
34917,26408823B90515543724533,AGO,Cuando Cubango,0.0,0.0,185466.88,11327803.991666667,19.517741350442357,-16.11818066250432
34917,26408823B29177594449133,AGO,Cuanza Sul,0.11,0.11,15393120.8,11327803.991666667,15.045067400854824,-10.825977535749447
34917,26408823B58820355179323,AGO,Lunda Sul,0.0,0.0,127571.38,11327803.991666667,20.60110332945663,-10.171814852294467
34917,26408823B46264466320795,AGO,Malanje,0.18,0.18,24119970.64,11327803.991666667,17.052316525542718,-9.535771475297434
34917,26408823B70921043256570,AGO,Moxico,0.41,0.41,56069300.63,11327803.991666667,21.04004200270457,-12.879798001496118
