id,shapeID,shapeGroup,shapeName,intersection_ratio,Recipient ISO-3,matching_iso,iso_match_list
91873,28894549B94774564287465,COD,Lualaba,1.0,PRK,False,[False]
49542,75662566B5378229891244,ETH,Addis Ababa,1.0,,False,[False]
52269,75662566B5378229891244,ETH,Addis Ababa,1.0,,False,[False]
52335,75662566B5378229891244,ETH,Addis Ababa,1.0,,False,[False]
86376,75662566B5378229891244,ETH,Addis Ababa,1.0,,False,[False]
86378,75662566B5378229891244,ETH,Addis Ababa,1.0,,False,[False]
92321,75662566B5378229891244,ETH,Addis Ababa,1.0,,False,[False]
2276,36957248B83801093286412,TZA,Pwani,0.06,,False,"[False, False, False, False, False, False, False, False, False]"
2276,6923714B60407914126357,ZMB,Central,0.16,,False,"[False, False, False, False, False, False, False, False, False]"
30287,36957248B83801093286412,TZA,Pwani,0.06,,False,"[False, False, False, False, False, False, False, False, False]"
30287,6923714B60407914126357,ZMB,Central,0.16,,False,"[False, False, False, False, False, False, False, False, False]"
59574,36957248B83801093286412,TZA,Pwani,0.06,,False,"[False, False, False, False, False, False, False, False, False]"
59574,6923714B60407914126357,ZMB,Central,0.16,,False,"[False, False, False, False, False, False, False, False, False]"
64800,36957248B51202481578817,TZA,Morogoro,0.03,JOR,False,"[False, False, False]"
30520,28894549B68389240291046,COD,Kinshasa,1.0,COG,False,[False]
87963,28894549B68389240291046,COD,Kinshasa,1.0,COG,False,[False]
30508,67827341B64489104323901,COG,Brazzaville,1.0,COD,False,[False]
72875,67827341B64489104323901,COG,Brazzaville,1.0,MDG,False,[False]
96283,44829518B32493797453601,TGO,Maritime Region,1.0,,False,[False]
58612,27671186B76269877687363,NGA,Abuja Federal Capital Territory,1.0,NER,False,[False]
60988,27671186B76269877687363,NGA,Abuja Federal Capital Territory,1.0,,False,[False]
55525,27767025B65184844379073,CMR,Far North,0.03,,False,"[False, False, False]"
55525,23847190B26801534542350,TCD,Chari-Baguirmi,0.01,,False,"[False, False, False]"
354,88200057B70993266842589,ZWE,Mashonaland West,1.0,ZMB,False,[False]
91837,27767025B67924123829422,CMR,South,0.93,GNQ,False,[False]
1071,28894549B52595819388952,COD,Tshopo,1.0,COG,False,[False]
20955,48771326B10235544430886,SSD,Central Equatoria,1.0,SDN,False,[False]
24586,48771326B10235544430886,SSD,Central Equatoria,1.0,SDN,False,[False]
35176,48771326B10235544430886,SSD,Central Equatoria,1.0,SDN,False,[False]
43162,48771326B10235544430886,SSD,Central Equatoria,1.0,SDN,False,[False]
58811,48771326B10235544430886,SSD,Central Equatoria,1.0,SDN,False,[False]
58846,48771326B10235544430886,SSD,Central Equatoria,1.0,SDN,False,[False]
59486,48771326B10235544430886,SSD,Central Equatoria,1.0,SDN,False,[False]
53106,32016919B57908315498598,KEN,Nairobi,1.0,,False,[False]
1059,48771326B2876692069974,SSD,Upper Nile,1.0,SDN,False,[False]
56743,48771326B2876692069974,SSD,Upper Nile,1.0,SDN,False,[False]
56745,48771326B2876692069974,SSD,Upper Nile,1.0,SDN,False,[False]
53179,92416918B67011525583155,MLI,Kayes,1.0,SEN,False,[False]
56791,92416918B67011525583155,MLI,Kayes,1.0,MRT,False,[False]
95866,65221844B53255720811613,MUS,Port Louis,1.0,ETH,False,[False]
67091,70788906B33851053053385,MAR,Casablanca-Settat,1.0,RUS,False,[False]
57922,17295835B48340970483027,UGA,Central Region,1.0,MWI,False,[False]
59248,76434192B69392740373411,ZAF,Gauteng,1.0,,False,[False]
66130,28894549B87743923989415,COD,Kasai-Oriental,1.0,CIV,False,[False]
30791,48771326B48659004133869,SSD,Jonglei,1.0,SDN,False,[False]
72231,76434192B57942368908249,ZAF,Free State,1.0,LSO,False,[False]
91725,37992800B57023840568534,KHM,Kandal,1.0,LAO,False,[False]
38903,63759600B24834630697040,VNM,Tây Ninh,0.01,,False,"[False, False, False, False, False, False, False]"
38903,20573499B24734669936209,MMR,Yangon,0.29,,False,"[False, False, False, False, False, False, False]"
