id,location,osm_list
56402,"This project is located in Londa village within Kalapara upazali, Patuakhali district, and Barisal division. More detailed locational information can be found at https://www.openstreetmap.org/query?lat=22.0008&lon=90.3059 and https://www.google.com/maps/place/Patuakhali+1320+MW+Power+plant/@22.0377137,90.3459673,13z/data=!4m9!1m2!2m1!1sPatuakhali+Power+Plant!3m5!1s0x30aaf32252a9e529:0xb25cf67ba369dd04!8m2!3d22.0301326!4d90.3179061!15sChZQYXR1YWtoYWxpIFBvd2VyIFBsYW50kgELcG93ZXJfcGxhbnQ",['https://www.openstreetmap.org/query?lat=22.0008&lon=90.3059']
85139,"The Djibouti International Free Trade Zone is an industrial park located in Balbala City, along Route Nationale 1 (RN-1).More locational details can be found at: https://www.openstreetmap.org/search?query=Djibouti%20International%20Free%20Trade%20Zone#map=15/11.5625/43.0102Set and https://mapcarta.com/W650289611 and https://www.google.com/maps/place/Djibouti+International+Free+Trade+Zone/@11.5677896,43.0331828,13z/data=!4m8!1m2!2m1!1sDjibouti+International+Free+Trade+Zone!3m4!1s0x0:0x15a2d9534c76ab43!8m2!3d11.5540769!4d43.006357.",['https://www.openstreetmap.org/search?query=Djibouti%20International%20Free%20Trade%20Zone#map=15/11.5625/43.0102Set']
59393,"The Djibouti International Free Trade Zone is an industrial park located in Balbala City, along Route Nationale 1 (RN-1).More locational details can be found at: https://www.openstreetmap.org/search?query=Djibouti%20International%20Free%20Trade%20Zone#map=15/11.5625/43.0102Set and https://mapcarta.com/W650289611 and https://www.google.com/maps/place/Djibouti+International+Free+Trade+Zone/@11.5677896,43.0331828,13z/data=!4m8!1m2!2m1!1sDjibouti+International+Free+Trade+Zone!3m4!1s0x0:0x15a2d9534c76ab43!8m2!3d11.5540769!4d43.006357.",['https://www.openstreetmap.org/search?query=Djibouti%20International%20Free%20Trade%20Zone#map=15/11.5625/43.0102Set']
58505,"The purpose of this project is construct a vocational and technical training center in TEDA TOWN within the TEDA Suez Trade and Economic Cooperation Zone (in the town of Ain Sokhna bordering the Gulf of Suez along Egypt's Red Sea Coast). More detailed locational information can be found at https://www.google.com/maps/place/TEDA+SUEZ+-+Egypt+TEDA+S.A.E/@29.6709736,32.3105663,17z/data=!4m8!1m2!2m1!1sAin+Sokhna+TEDA!3m4!1s0x0:0x6fbc5fbc9ca42674!8m2!3d29.6713746!4d32.3133136 and https://www.openstreetmap.org/search?query=29.671347667352276%2C%2032.31329898080827#map=17/29.67135/32.31330 ",['https://www.openstreetmap.org/search?query=29.671347667352276%2C%2032.31329898080827#map=17/29.67135/32.31330']
62131,This project is located in the new city of Oyala (or Djibloho). More detailed locational information can be found at https://www.openstreetmap.org/search?query=Oyala%20#map=12/1.6170/10.8284 and https://www.openstreetmap.org/node/3346995825#map=16/1.6032/10.8238.,"['https://www.openstreetmap.org/search?query=Oyala%20#map=12/1.6170/10.8284', 'https://www.openstreetmap.org/node/3346995825#map=16/1.6032/10.8238.']"
62064,"The purpose of the project is to construct a coal-fired power plant — with two, 350MW power generation units (Unit 1 and Unit 2) — in Tanjung Menang Village, Rambang Dangku District, Muara Enim Regency, South Sumatra Province (exact locational coordinates: -3.47666667, 103.99916667). It also involves the construction of an 80 km,  275kV transmission line to Betung substation. More detailed locational information can be found at https://www.openstreetmap.org/way/610198177 and https://www.openstreetmap.org/search?query=-3.47666667%2C%20103.99916667#map=16/-3.4767/103.9992","['https://www.openstreetmap.org/way/610198177', 'https://www.openstreetmap.org/search?query=-3.47666667%2C%20103.99916667#map=16/-3.4767/103.9992']"
62261,"This project involved the construction of a 3 x 80MW geothermal power plant in Sibanggor Julu Village, Puncak Sorik Marapi District, Mandailing Natal Regency, and North Sumatra Province. Phase 1 involved the installation of 126MW power generation capacity. More detailed locational information can be found at https://www.openstreetmap.org/node/3891186321 and https://www.openstreetmap.org/search?query=0.7780343437452557%2C%2099.57916749745105#map=10/0.7780/99.5792","['https://www.openstreetmap.org/node/3891186321', 'https://www.openstreetmap.org/search?query=0.7780343437452557%2C%2099.57916749745105#map=10/0.7780/99.5792']"
62280,The purpose of the project was to construct a cement production line in Inobonto within North Sulawesi Province with the capacity to produce 5000 tons of clinker cement per day. https://www.openstreetmap.org/search?query=0.901580034954915%2C%20124.08059931534382#map=16/0.9016/124.0806,['https://www.openstreetmap.org/search?query=0.901580034954915%2C%20124.08059931534382#map=16/0.9016/124.0806']
69418,"The purpose of the project is to construct a coal-fired power plant — with two, 350MW power generation units (Unit 1 and Unit 2) — in Tanjung Menang Village, Rambang Dangku District, Muara Enim Regency, South Sumatra Province (exact locational coordinates: -3.47666667, 103.99916667). It also involves the construction of an 80 km,  275kV transmission line to Betung substation. More detailed locational information can be found at https://www.openstreetmap.org/way/610198177 and https://www.openstreetmap.org/search?query=-3.47666667%2C%20103.99916667#map=16/-3.4767/103.9992","['https://www.openstreetmap.org/way/610198177', 'https://www.openstreetmap.org/search?query=-3.47666667%2C%20103.99916667#map=16/-3.4767/103.9992']"
69419,"The purpose of the project is to construct a coal-fired power plant — with two, 350MW power generation units (Unit 1 and Unit 2) — in Tanjung Menang Village, Rambang Dangku District, Muara Enim Regency, South Sumatra Province (exact locational coordinates: -3.47666667, 103.99916667). It also involves the construction of an 80 km,  275kV transmission line to Betung substation. More detailed locational information can be found at https://www.openstreetmap.org/way/610198177 and https://www.openstreetmap.org/search?query=-3.47666667%2C%20103.99916667#map=16/-3.4767/103.9992","['https://www.openstreetmap.org/way/610198177', 'https://www.openstreetmap.org/search?query=-3.47666667%2C%20103.99916667#map=16/-3.4767/103.9992']"
69599,"This project involved the construction of a 3 x 80MW geothermal power plant in Sibanggor Julu Village, Puncak Sorik Marapi District, Mandailing Natal Regency, and North Sumatra Province. Phase 1 involved the installation of 126MW power generation capacity. More detailed locational information can be found at https://www.openstreetmap.org/node/3891186321 and https://www.openstreetmap.org/search?query=0.7780343437452557%2C%2099.57916749745105#map=10/0.7780/99.5792","['https://www.openstreetmap.org/node/3891186321', 'https://www.openstreetmap.org/search?query=0.7780343437452557%2C%2099.57916749745105#map=10/0.7780/99.5792']"
61098,"The purpose of the project was to install a 510-megawatt (MW) coal-fired power plant — with four 4x127.5MW generators (Unit 1, Unit 2, Unit 3, Unit 4) — along the Batang Toru River in South Tapanuli District of North Sumatra Province (exact locational coordinates: 1°34′49.4″N 99°10′07.8″E). More detailed locational information can be found at https://www.openstreetmap.org/search?query=1%C2%B034%E2%80%B249.4%E2%80%B3N%2099%C2%B010%E2%80%B207.8%E2%80%B3E#map=19/1.58039/99.16883",['https://www.openstreetmap.org/search?query=1%C2%B034%E2%80%B249.4%E2%80%B3N%2099%C2%B010%E2%80%B207.8%E2%80%B3E#map=19/1.58039/99.16883']
85268,"The purpose of the project is to construct a 913MW combined cycle power plant in the Lamerd Special Economic Zone within the southern province of Fars and supply electricity to the aluminum smelter run by South Aluminum Corporation (SALCO or شرکت آلومینیوم جنوب). The project also involves the construction of electricity transmission lines and substations to evacuate power from the plant. The plant itself is located at the 8th km on Lamerd-Khonj road with the city of Lamerd. The locational coordinates of the plant are 27.335372, 53.157570.  More detailed locational information can be found at https://www.openstreetmap.org/search?query=27.335372%2C%2053.157570%20#map=17/27.33537/53.15757 and https://www.gem.wiki/Ghadir_Lamerd_power_station.",['https://www.openstreetmap.org/search?query=27.335372%2C%2053.157570%20#map=17/27.33537/53.15757']
64796,"This project involved the provision of 2,000 Chinese language textbooks to a Confucius Institute at TAG University in the city of Amman. More detailed locational information can be found at https://www.openstreetmap.org/search?query=31.97373458004827%2C%2035.870902497483115#map=16/31.9737/35.8709.",['https://www.openstreetmap.org/search?query=31.97373458004827%2C%2035.870902497483115#map=16/31.9737/35.8709.']
64797,This project involved the provision of scholarships to a Confucius Institute at TAG University in the city of Amman. More detailed locational information can be found at https://www.openstreetmap.org/search?query=31.97373458004827%2C%2035.870902497483115#map=16/31.9737/35.8709.,['https://www.openstreetmap.org/search?query=31.97373458004827%2C%2035.870902497483115#map=16/31.9737/35.8709.']
69001,"The purpose of the project is to (a) study the diet and habitat of Gobi bears, (b) use the study findings to provide technical support and equipment to improve the habitat and supporting biodiversity in Part A of the Great Gobi Strictly Protected Area within Tsogt soum and Gobi-Altai aimag (detailed locational coordinates: 43.24, 97.43). More detailed locational information can be found at https://www.openstreetmap.org/search?query=43.24%2C%2097.43#map=10/43.2400/97.4300",['https://www.openstreetmap.org/search?query=43.24%2C%2097.43#map=10/43.2400/97.4300']
61562,This project involved the construction of the Butuka School in the capital city of Port Moresby. More detailed locational information can be found at https://www.openstreetmap.org/search?query=-9.491919183375034%2C%20147.1965131#map=16/-9.4919/147.1965”,['https://www.openstreetmap.org/search?query=-9.491919183375034%2C%20147.1965131#map=16/-9.4919/147.1965”']
63927,"This project involved the construction of a drug rehabilitation facility in Agusan del Sur Province. More detailed locational information can be found at https://www.google.com/maps/place/DOH+Drug+Treatment+and+Rehabilitation+Center/@8.4932666,126.0025859,15z/data=!4m5!3m4!1s0x0:0xb6bb7c25362d95f7!8m2!3d8.4932666!4d126.0025859 and https://www.openstreetmap.org/search?query=8.493202932943843%2C%20126.00252152698505#map=19/8.49320/126.0025.",['https://www.openstreetmap.org/search?query=8.493202932943843%2C%20126.00252152698505#map=19/8.49320/126.0025.']
63928,"This project involved the construction of a drug rehabilitation facility in SaranganiProvince. More detailed locational information can be found at https://www.google.com/maps/place/DOH+SOCCSKSARGEN+DATRC/@6.0624723,125.2831909,17z/data=!3m1!4b1!4m5!3m4!1s0x32f70ba21959bb61:0x8b7cff4b4e0d2c80!8m2!3d6.062467!4d125.2853849 and https://www.openstreetmap.org/search?query=6.0624510100100215%2C%20125.2853795078051#map=19/6.06245/125.28538.",['https://www.openstreetmap.org/search?query=6.0624510100100215%2C%20125.2853795078051#map=19/6.06245/125.28538.']
61282,"The objectives of Phase 4 were to upgrade the China-Samoa Demonstration Farm [at the Nuu (Nu’u) Research Station on Talimatau Road in Vaitele], support model farmers, construct agricultural facilities (including 100 demonstration farm houses and 110 tunnel houses), promote different crop varieties, supply agricultural machinery (including tractors and processing machines), and provide technical trainings. More detailed locational information can be found at https://www.openstreetmap.org/way/141690401 https://www.openstreetmap.org/way/141690190 https://www.openstreetmap.org/way/141690404 https://www.openstreetmap.org/way/141690209 https://www.openstreetmap.org/way/141690594 https://www.openstreetmap.org/way/141690537 https://www.openstreetmap.org/way/141690496https://www.google.com/maps/place/Nuu+Research+Station/@-13.8309725,-171.837523,17z/data=!3m1!4b1!4m5!3m4!1s0x71a515a5da6a18c9:0x5a6bc1f86529db9!8m2!3d-13.8309777!4d-171.8353343 ","['https://www.openstreetmap.org/way/141690401', 'https://www.openstreetmap.org/way/141690190', 'https://www.openstreetmap.org/way/141690404', 'https://www.openstreetmap.org/way/141690209', 'https://www.openstreetmap.org/way/141690594', 'https://www.openstreetmap.org/way/141690537', 'https://www.openstreetmap.org/way/141690496https://www.google.com/maps/place/Nuu+Research+Station/@-13.8309725,-171.837523,17z/data=!3m1!4b1!4m5!3m4!1s0x71a515a5da6a18c9:0x5a6bc1f86529db9!8m2!3d-13.8309777!4d-171.8353343']"
64569,This project involved the provision of medical equipment to University Heart Surgery Center in the city of Damascus. More detailed locational information can be found at https://www.openstreetmap.org/search?query=33.513008645281275%2C%2036.264318499472886#map=18/33.51300/36.26432.,['https://www.openstreetmap.org/search?query=33.513008645281275%2C%2036.264318499472886#map=18/33.51300/36.26432.']
64630,This project involved the provision of medical equipment to Military Hospital 601 (المشفى العسكري or المستشفى العسكري '601') in the city of Damascus. More detailed locational information can be found at https://www.openstreetmap.org/search?query=33.51156845455848%2C%2036.25342269932368#map=16/33.5116/36.2534.,['https://www.openstreetmap.org/search?query=33.51156845455848%2C%2036.25342269932368#map=16/33.5116/36.2534.']
64490,"The purpose of the project is to construct a 650MW coal-fired power plant — with two, 325MW power generation units (Unit 1 and Unit 2) —  in Bắc Lũng commune, Lục Nam district, and Bắc Giang province (exact locational coordinates: 21.23238, 106.35375). More detailed locational information can be found at https://www.openstreetmap.org/search?query=21.23238%2C%20106.35375#map=15/21.2324/106.3537",['https://www.openstreetmap.org/search?query=21.23238%2C%20106.35375#map=15/21.2324/106.3537']
57560,"The Musonda Falls Hydroelectric Power Plant is located in Musonda Falls within Mwense District and Luapula Province. It is a source of power supply to seven districts in the province—namely, Chiengi, Kawambwa, Mwense, Chipili, Chembe, Nchelenge and Samfya. More detailed locational information on the site of the hydroelectric power station can be found at https://www.openstreetmap.org/search?query=Musonda%20Falls%20Hydroelectric%20Power%20Station#map=19/-10.71096/28.80644.",['https://www.openstreetmap.org/search?query=Musonda%20Falls%20Hydroelectric%20Power%20Station#map=19/-10.71096/28.80644.']
2170,"This project involves the construction of a dam in Adjarala, which is located approximately 100 km downstream of the 65MW Nangbéto hydropower plant on the Mono River. More detailed locational information can be found at https://www.openstreetmap.org/search?query=Adjarala#map=12/6.9000/1.6000 and https://www.dropbox.com/s/jwfshs3lbu2zltn/wb_database_dams.csv?dl=0",['https://www.openstreetmap.org/search?query=Adjarala#map=12/6.9000/1.6000']
