id,location,osm_list
53632,"This project is located at Kabul University. The locational coordinates of Kabul University are available at https://www.google.com/maps/place/Kabul+University/@34.5173801,69.1337345,17z/data=!3m1!4b1!4m5!3m4!1s0x38d16f2c550c3f59:0xa47b5d537e5b7214!8m2!3d34.5173801!4d69.1359232. More detailed locational information can be found at https://www.openstreetmap.org/way/199999770#map=16/34.5151/69.1345",['https://www.openstreetmap.org/way/199999770#map=16/34.5151/69.1345']
53634,This project involved the construction of a complex for the Afghanistan Technical Vocational Institute in the city of Kabul. More detailed locational information can be found at https://en.imsilkroad.com/p/63499.html?catid=542 and https://www.facebook.com/CIDCAofficial/photos/a.140264927351443/517708652940400/?type=3The and https://www.wikidata.org/wiki/Q22979334 and https://www.openstreetmap.org/way/926991458 and https://m.facebook.com/CIDCAofficial/photos/a.140264927351443/517708652940400/?type=3,['https://www.openstreetmap.org/way/926991458']
53999,"This project is located in Kabul. The first phase of the project will involve the construction of 1400 housing units in the Old Dar-ul-Aman Palace in Kabul. The exact locational coordinates of the Old Dar-ul-Aman Palace can be accessed at https://www.google.com/maps/place/Kabul+Darul+Aman+Palace/@34.4651695,69.1172541,17z/data=!3m1!4b1!4m5!3m4!1s0x38d1692428be5ecf:0xd47cfa156e405994!8m2!3d34.4651695!4d69.1194428. More detailed locational information can be found at https://www.openstreetmap.org/way/453788690",['https://www.openstreetmap.org/way/453788690']
66152,The purpose of this project was to establish an agricultural demonstration center in the town of Cërrik focused on the use of agricultural machinery and technologies. More detailed locational information can be found at https://www.openstreetmap.org/relation/1250601.,['https://www.openstreetmap.org/relation/1250601.']
67727,"The fourth Chinese medical team to Angola was stationed at Luanda General Hospital (Hospital Geral de Luanda), which is located in the Kilamba Kiaxi municipality of Luanda. More detailed locational information can be found at https://www.openstreetmap.org/way/60355326.",['https://www.openstreetmap.org/way/60355326.']
65676,"This project involved the construction of modern water treatment facilities in the city of Porto Amboim within Cuanza-Sul Province. It also involved the construction of a water pipeline that passes through the following villages: Bambala, Camulo I and II, Cazanga, Denda, Icuacua, Libata do Onze, Mucambe, Mussonga, palanca, Quindande and Quiteca. More detailed locational information can be found at https://www.openstreetmap.org/node/352680227.",['https://www.openstreetmap.org/node/352680227.']
66314,This project supported the construction of the Boavista-Miramar-São Paulo road in the city of Luanda. More detailed locational information can be found at https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-8.8017%2C13.2634%3B-8.8135%2C13.2559#map=15/-8.8062/13.2593.,['https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-8.8017%2C13.2634%3B-8.8135%2C13.2559#map=15/-8.8062/13.2593.']
67496,This project involved the construction of a laboratory in the northeastern section of Nova Cidade de Kilamba (Kilamba New City). More detailed locational information can be found at https://www.openstreetmap.org/way/150637890#map=13/-9.0047/13.2749.,['https://www.openstreetmap.org/way/150637890#map=13/-9.0047/13.2749.']
72349,The New Luanda International Airport (NAIL) is located on the outskirts of the city of Luanda. More detailed locational information can be found at https://www.openstreetmap.org/way/195543465,['https://www.openstreetmap.org/way/195543465']
73559,This water supply project is located in Zongo V village within the Viana municipality in Luanda Province. More detailed locational information can be found at https://www.openstreetmap.org/node/1635308795.,['https://www.openstreetmap.org/node/1635308795.']
65740,"This project involved the provision of irrigation equipment to Barkat Seed Farm (Bərəkət Toxumçuluq), which is a farm in Azerbaijan’s Nakhichevan Autonomous Republic with 2,000 hectares of land, including 1023 hectares that are supported by an indoor irrigation network. More detailed locational information can be found at https://www.openstreetmap.org/relation/2379566.",['https://www.openstreetmap.org/relation/2379566.']
65733,This project involved the establishment of a Chinese Language Center at Azerbaijan State Academy of Fine Arts in the city of Baku. More detailed locational information can be found at https://www.openstreetmap.org/way/299015045.,['https://www.openstreetmap.org/way/299015045.']
65847,This planned project would involve the construction of 40 to 60 wind turbines — with 200 MW of power generation capacity — in the Caspian Sea on the Islands of Pirallahi and Cilov. More detailed locational information can be found at https://www.openstreetmap.org/way/22760739#map=13/40.3155/50.5751 and https://www.openstreetmap.org/way/272642774.,"['https://www.openstreetmap.org/way/22760739#map=13/40.3155/50.5751', 'https://www.openstreetmap.org/way/272642774.']"
53584,"Through this project, a diesel and crude oil storage tank will be set up at Moheshkhali Island on the Bay of Bengal in Bangladeshi Cox's Bazar district. The project also involves the construction of a 146-km offshore pipeline and 74-km onshore pipeline to carry imported oil from sea to the Eastern Refinery in Chattogram for processing. More detailed locational information can be found at https://www.openstreetmap.org/relation/12849717#map=11/21.6082/91.9171 and https://www.google.com/maps/place/Eastern+Refinery+Limited/@22.2677458,91.8035351,15z/data=!4m5!3m4!1s0x0:0x4e0eb273a1fdc960!8m2!3d22.2677458!4d91.8035351 and https://www.openstreetmap.org/way/353033114","['https://www.openstreetmap.org/relation/12849717#map=11/21.6082/91.9171', 'https://www.openstreetmap.org/way/353033114']"
69864,This project took place at the University of Creative Technology in Chittagong. More detailed locational information can be found at https://www.openstreetmap.org/way/516275953,['https://www.openstreetmap.org/way/516275953']
38349,"Through this project, a diesel and crude oil storage tank will be set up at Moheshkhali Island on the Bay of Bengal in Bangladeshi Cox's Bazar district. The project also involves the construction of a 146-km offshore pipeline and 74-km onshore pipeline to carry imported oil from sea to the Eastern Refinery in Chattogram for processing. More detailed locational information can be found at https://www.openstreetmap.org/relation/12849717#map=11/21.6082/91.9171 and https://www.google.com/maps/place/Eastern+Refinery+Limited/@22.2677458,91.8035351,15z/data=!4m5!3m4!1s0x0:0x4e0eb273a1fdc960!8m2!3d22.2677458!4d91.8035351 and https://www.openstreetmap.org/way/353033114","['https://www.openstreetmap.org/relation/12849717#map=11/21.6082/91.9171', 'https://www.openstreetmap.org/way/353033114']"
56402,"This project is located in Londa village within Kalapara upazali, Patuakhali district, and Barisal division. More detailed locational information can be found at https://www.openstreetmap.org/query?lat=22.0008&lon=90.3059 and https://www.google.com/maps/place/Patuakhali+1320+MW+Power+plant/@22.0377137,90.3459673,13z/data=!4m9!1m2!2m1!1sPatuakhali+Power+Plant!3m5!1s0x30aaf32252a9e529:0xb25cf67ba369dd04!8m2!3d22.0301326!4d90.3179061!15sChZQYXR1YWtoYWxpIFBvd2VyIFBsYW50kgELcG93ZXJfcGxhbnQ",['https://www.openstreetmap.org/query?lat=22.0008&lon=90.3059']
69033,"{ 'text' : 'More detailed locational information can be found at https://www.google.com/maps/place/Sirajganj+225+MW+Combined+Cycle+Power+Plant+(Unit-3)/@24.3855052,89.7427814,17z/data=!3m1!4b1!4m5!3m4!1s0x39fde904f0b4f14f:0xf5b3e0e0b221fa36!8m2!3d24.3855003!4d89.7449701 and https://www.openstreetmap.org/way/315575298#map=15/24.3857/89.7450' , 'hyperlink' : 'https://www.openstreetmap.org/way/315575298'}","[""https://www.openstreetmap.org/way/315575298#map=15/24.3857/89.7450'"", ""'https://www.openstreetmap.org/way/315575298'}""]"
66744,The purpose of this project was to support a hydraulics manufacturing facility in the city of Gomel. More detailed locational information can be found at https://www.openstreetmap.org/way/362951351.,['https://www.openstreetmap.org/way/362951351.']
66745,The purpose of this project was to support a hydraulics manufacturing facility in the city of Gomel. More detailed locational information can be found at https://www.openstreetmap.org/way/362951351.,['https://www.openstreetmap.org/way/362951351.']
66084,"The purpose of the project was to restore the Usha riverbed within Great Stone Industrial Park, which is located in the Smolevichi district between the Petrovichi reservoir and Minsk National Airport (25 km to the east of the capital city of Minsk. More detailed locational information can be found at https://www.openstreetmap.org/way/455544676.",['https://www.openstreetmap.org/way/455544676.']
