tuff_id,clean_link,osm_type,osm_id,svg_path,unique_id,status,message,feature
4,https://www.openstreetmap.org/way/60355326,way,60355326,,0,0.0,Success,"POLYGON ((13.2586493 -8.8960273, 13.2586913 -8.896024600000001, 13.2593951 -8.8965639, 13.2595887 -8.896754899999999, 13.2597716 -8.896963400000001, 13.2600007 -8.8973303, 13.260113 -8.8976358, 13.2601934 -8.8979518, 13.2603065 -8.8990492, 13.259957 -8.8991366, 13.2589974 -8.8991297, 13.2585234 -8.899077200000001, 13.2586125 -8.8972923, 13.2586493 -8.8960273))"
18,https://www.openstreetmap.org/way/692654293,way,692654293,,1,,,
29,https://www.openstreetmap.org/way/783831340,way,783831340,,2,,,
40,https://www.openstreetmap.org/way/316499815,way,316499815,,3,,,
46,https://www.openstreetmap.org/way/110020793,way,110020793,,4,,,
80,https://www.openstreetmap.org/way/93686819,way,93686819,,5,,,
85,https://www.openstreetmap.org/way/446396002,way,446396002,,6,,,
87,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=1.8651%2C9.7687%3B1.8500%2C10.2504,directions,,,7,,,
96,https://www.openstreetmap.org/node/1620604084,node,1620604084,,8,,,
96,https://www.openstreetmap.org/node/1956274629,node,1956274629,,9,,,
99,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=2.02%2C10.47%3B1.85%2C10.25,directions,,,10,,,
100,https://www.openstreetmap.org/way/40945888,way,40945888,,11,,,
100,https://www.openstreetmap.org/way/36007612,way,36007612,,12,,,
100,https://www.openstreetmap.org/way/36406449,way,36406449,,13,,,
100,https://www.openstreetmap.org/way/36403869,way,36403869,,14,,,
100,https://www.openstreetmap.org/way/40945906,way,40945906,,15,,,
117,https://www.openstreetmap.org/node/4142650821,node,4142650821,,16,,,
120,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=5.6541%2C-0.2644%3B5.8144%2C-0.3458,directions,,,17,,,
135,https://www.openstreetmap.org/way/142692134,way,142692134,,18,,,
141,https://www.openstreetmap.org/way/324597178,way,324597178,,19,,,
152,https://www.openstreetmap.org/node/4107364764,node,4107364764,,20,,,
152,https://www.openstreetmap.org/way/50563173,way,50563173,,21,,,
152,https://www.openstreetmap.org/relation/2148314,relation,2148314,,22,,,
152,https://www.openstreetmap.org/way/226831624,way,226831624,,23,,,
158,https://www.openstreetmap.org/way/843336010,way,843336010,,24,,,
158,https://www.openstreetmap.org/way/843336009,way,843336009,,25,,,
158,https://www.openstreetmap.org/way/843336008,way,843336008,,26,,,
158,https://www.openstreetmap.org/way/843336007,way,843336007,,27,,,
161,https://www.openstreetmap.org/way/324597178,way,324597178,,28,,,
168,https://www.openstreetmap.org/way/228851097,way,228851097,,29,,,
173,https://www.openstreetmap.org/way/500719409,way,500719409,,30,,,
178,https://www.openstreetmap.org/relation/2937979,relation,2937979,,31,,,
183,https://www.openstreetmap.org/way/185995275,way,185995275,,32,,,
183,https://www.openstreetmap.org/way/407081343,way,407081343,,33,,,
195,https://www.openstreetmap.org/relation/6441947,relation,6441947,,34,,,
207,https://www.openstreetmap.org/relation/8275854,relation,8275854,,35,,,
207,https://www.openstreetmap.org/relation/8503543,relation,8503543,,36,,,
231,https://www.openstreetmap.org/node/2178082107,node,2178082107,,37,,,
233,https://www.openstreetmap.org/node/2574198423,node,2574198423,,38,,,
234,https://www.openstreetmap.org/way/149144269,way,149144269,,39,,,
237,https://www.openstreetmap.org/way/26056288,way,26056288,,40,,,
246,https://www.openstreetmap.org/node/5652769429,node,5652769429,,41,,,
248,https://www.openstreetmap.org/node/300074306,node,300074306,,42,,,
256,https://www.openstreetmap.org/node/469235313,node,469235313,,43,,,
256,https://www.openstreetmap.org/node/5274014973,node,5274014973,,44,,,
284,https://www.openstreetmap.org/way/336665673,way,336665673,,45,,,
287,https://www.openstreetmap.org/node/7801589185,node,7801589185,,46,,,
289,https://www.openstreetmap.org/relation/11499595,relation,11499595,,47,,,
314,https://www.openstreetmap.org/way/375109987,way,375109987,,48,,,
350,https://www.openstreetmap.org/way/325526034,way,325526034,,49,,,
350,https://www.openstreetmap.org/way/941006450,way,941006450,,50,,,
352,https://www.openstreetmap.org/way/235317733,way,235317733,,51,,,
354,https://www.openstreetmap.org/node/2873992872,node,2873992872,,52,,,
356,https://www.openstreetmap.org/way/375109987,way,375109987,,53,,,
359,https://www.openstreetmap.org/way/194252475,way,194252475,,54,,,
367,https://www.openstreetmap.org/way/194252475,way,194252475,,55,,,
369,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-3.8945%2C15.4071%3B-4.2005%2C12.6792,directions,,,56,,,
394,https://www.openstreetmap.org/way/144754191,way,144754191,,57,,,
394,https://www.openstreetmap.org/node/8011100645,node,8011100645,,58,,,
395,https://www.openstreetmap.org/way/419881676,way,419881676,,59,,,
